region;estado;municipio;parroquia_actual;ciudad;urbana;zona;codigo_postal
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio 1ro de Mayo;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio Altos de la Iglesia;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio Bicentenario I;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio Bucare;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio Buena Vista;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio Buenos Aires;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio Calle Nueva;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio Carapita Central;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio Carapita Norte;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio Carlos Bello;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio Copey;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio Corazón de Jesús;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio El 70;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio El 70 I;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio El 70 II;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio El Aguacate;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio El Cardón;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio El Carmen;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio El Jabillo;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio El Mamón;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio El Padre;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio El Refugio;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio El Rosario;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio El Sifón;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio El Tanque;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio El Trío;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio Fortuna;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio Francisco de Miranda;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio Germán González;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio Germán Rodríguez parte Alta;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio Germán Rodríguez parte Baja;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio González Cabrera;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio La Acequia;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio La Chinita;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio La Colmena;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio La Cumbre;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio La Cumbre parte Baja;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio La Grama;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio La Grita;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio La Gruta;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio La Hacienda;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio La Línea;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio La Lomita;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio La Pedrera I, 1º, 2º y 3º Plan;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio La Pedrera II, 4º, 5º y 6º Plan;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio La Quebrada;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio La Redoma;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio La Reforma;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio La Vencedora;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio La Yaguara;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio Las Casitas;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio Las Cocuizas;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio Las Delicias;1000
